Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
642,0,0,0,0,0,-2,3,-4
643,0,0,0,0,0,1,0,1
644,1,0,0,0,0,-4,5,-1
645,-1,0,0,0,0,2,-1,2
646,-1,3,-1,-1,-1,-1,-2,6
647,0,0,0,0,0,-2,3,-6
648,-1,-1,0,1,0,1,0,0
649,1,-1,1,0,0,1,0,0
650,0,0,0,0,0,-1,2,-4
651,1,-1,1,0,0,0,1,0
652,0,0,0,0,0,0,-1,5
653,-1,-1,0,0,1,-3,3,-4
654,-1,-1,0,0,0,-2,3,-6
655,-1,-1,-1,-1,0,0,1,-2
656,1,1,-1,-1,0,1,0,0
657,0,0,0,0,0,-1,2,-3
658,0,0,0,0,0,-2,3,-6
659,0,0,0,0,0,0,1,-3
660,-1,-1,0,0,0,-1,2,-3
661,-1,0,0,0,0,-3,4,-5
662,0,0,1,0,0,1,0,2
663,-1,-1,0,0,-1,0,2,-3
664,-1,-1,0,0,0,-2,3,-5
665,0,0,0,0,0,-1,2,-3
666,-2,-2,-1,-1,0,0,1,-4
667,-1,-1,0,0,0,-1,2,-2
668,-1,0,1,0,0,0,0,-1
669,-1,-1,-1,-1,0,0,1,-2
670,-1,0,0,0,0,-4,5,-5
671,0,2,-1,-1,0,0,1,0
672,0,0,0,0,0,1,0,-2
673,0,0,0,0,0,0,1,-3
674,0,0,0,0,0,-1,2,-7
675,-1,-1,0,0,1,-4,3,-3
676,-1,-1,0,1,0,-2,3,-10
677,-1,0,0,0,0,0,1,-4
678,0,0,0,0,0,0,1,0
679,0,0,0,0,0,-2,3,-5
680,0,0,1,-1,1,-4,4,-3
681,0,0,0,0,0,0,1,-2
682,-1,-1,0,0,0,2,-1,4
683,1,0,0,0,0,-1,2,-4
684,0,0,0,0,0,0,1,-1
685,0,0,0,0,0,-3,4,-4
686,0,0,-1,-1,0,1,0,0
687,-1,-1,1,-1,1,-3,3,-2
688,0,0,-1,-1,0,0,1,1
